FileName,Gender
911Mothers_2010W.sph,M
AalaElKhani_2016X.sph,F
AaronHuey_2010X.sph,M
AaronKoblin_2011.sph,M
AaronOConnell_2011.sph,M
AbeDavis_2015.sph,M
AbhaDawesar_2013G.sph,M
AbigailMarsh_2016T.sph,F
AbigailWashburn_2012U.sph,F
AbrahamVerghese_2011G.sph,M
AchenyoIdachaba_2015W.sph,F
AdamDavidson_2012S.sph,M
AdamdelaZerda_2016X.sph,M
AdamDriver_2015P.sph,M
AdamFoss_2016.sph,M
AdamGalinsky_2016X.sph,M
AdamGarone_2011X.sph,M
AdamGrant_2016.sph,M
AdamGrant_2016S.sph,M
AdamGrosser_2007.sph,M
AdamOckelford_2013X.sph,M
AdamOstrow_2011G.sph,M
AdamSadowsky_2010X.sph,M
AdamSavage_2008P.sph,M
AdamSavage_2016.sph,M
AdamSpencer_2013.sph,M
AditiGupta_2015X.sph,F
AditiShankardass_2009I.sph,F
AdoraSvitak_2010.sph,F
AfraRaymond_2012X.sph,M
AimeeMullins_1998.sph,F
AimeeMullins_2009U.sph,F
AjitNarayanan_2013.sph,M
AJJacobs_2007P.sph,M
AJJacobs_2011P.sph,m
AJJacobs_2014A.sph,m
AlaaMurabit_2015W.sph,F
AlaindeBotton_2009G.sph,M
AlaindeBotton_2011G.sph,M
AlanEustace_2015.sph,M
AlanKay_2007.sph,M
AlannaShaikh_2012G.sph,F
AlanRussell_2006.sph,M
AlanSiegel_2010.sph,M
AlanSmith_2016X.sph,M
AlastairParvin_2013.sph,M
AlbertoCairo_2011X.sph,M
AlecSoth_2015.sph,M
AlejandroAlvarado_2016X.sph,M
AlejandroAravena_2014G.sph,M
AlessandraOrofino_2014G.sph,F
AlessandroAcquisti_2013G.sph,F
AlexaMeade_2013G.sph,F
AlexanderBetts_2016.sph,M
AlexanderBetts_2016T.sph,M
AlexanderTsiaras_2010P.sph,M
AlexisOhanian_2009I.sph,M
AlexKipman_2016.sph,M
AlexLaskey_2013.sph,M
AlexSteffen_2005G.sph,M
AlexSteffen_2011G.sph,M
AlexTabarrok_2009.sph,M
AlexWissnerGross_2013X.sph,M
AlGore_2006.sph,M
AlGore_2008.sph,M
AlGore_2016.sph,M
AliCarrChellman_2010X.sph,F
AliceBowsLarkin_2015G.sph,F
AliceDreger_2011X.sph,F
AliceGoffman_2015.sph,F
AliceRawsthorn_2016.sph,F
AliciaGarzaandPatrisseCullorsandOpalTometi_2016W.sph,F
AlisaMiller_2008.sph,F
AlisonGopnik_2011G.sph,F
AlisonJackson_2005G.sph,F
AlisonKilling_2014U.sph,F
AlisonKilling_2014X.sph,F
AlixGenerous_2015W.sph,F
AllanAdams_2014.sph,M
AllanAdams_2016.sph,M
AllanJones_2011G.sph,M
AllanSavory_2013.sph,M
AllisonHunt_2007.sph,F
AlSeckel_2004.sph,M
AlVernacchio_2012.sph,M
AlwarBalasubramaniam_2009I.sph,M
AlysonMcGregor_2014X.sph,F
AlyssaMonks_2015X.sph,F
AmandaBennett_2013P.sph,F
AmandaBurden_2014.sph,F
AmandaPalmer_2013.sph,F
AmberCase_2010W.sph,F
AmeenahGuribFakim_2014G.sph,F
AmeeraHarouda_2016.sph,F
AmiKlin_2011X.sph,F
AmitSood_2011.sph,M
AmitSood_2016.sph,M
AmoryLovins_2005.sph,M
AmoryLovins_2012S.sph,M
AmosWinter_2012X.sph,M
AmyAdeleHasinoff_2016X.sph,F
AmyCuddy_2012G.sph,F
AmyGreen_2017S.sph,F
AmyLockwood_2011G.sph,F
AmyPurdy_2011X.sph,F
AmySmith_2006.sph,F
AmyTan_2008.sph,F
AmyWebb_2013S.sph,F
AnandAgarawala_2007.sph,M
AnandaShankar_2009I.sph,F
AnandGiridharadas_2015.sph,M
AnandGiridharadas_2016T.sph,M
AnandVarma_2015.sph,M
AnantAgarwal_2013G.sph,M
AnasAremeyawAnas_2013.sph,M
AnastasiaTaylorLind_2014U.sph,F
AndersFjellberg_2015G.sph,M
AndersYnnerman_2010X.sph,M
AndrasForgacs_2013G.sph,M
AndreaGhez_2009G.sph,F
AndreasEkstrom_2015X.sph,M
AndreasRaptopoulos_2013G.sph,M
AndreasSchleicher_2012G.sph,M
AndresLozano_2013X.sph,M
AndresRuzo_2014G.sph,M
AndrewBastawrous_2014U.sph,M
AndrewBird_2010.sph,M
AndrewBlum_2012G.sph,M
AndrewConnolly_2014.sph,M
AndrewFitzgerald_2013S.sph,M
AndrewMcAfee_2012X.sph,M
AndrewMcAfee_2013.sph,M
AndrewMwenda_2007G.sph,M
AndrewPelling_2016U.sph,M
AndrewSolomon_2013P.sph,M
AndrewSolomon_2013X.sph,M
AndrewSolomon_2014.sph,M
AndrewYoun_2016.sph,M
AndyHobsbawm_2008.sph,M
AndyPuddicombe_2012S.sph,M
AndyYen_2014G.sph,M
AngelaBelcher_2011X.sph,F
AngelaDuckworth_2013S.sph,F
AngelaPatton_2012X.sph,F
AngelicaDass_2016.sph,F
AngeloVermeulen_2014U.sph,M
AnilAnanthaswamy_2010P.sph,M
AnilGupta_2009I.sph,M
AniLiu_2016X.sph,F
AnjaliTripathi_2015X.sph,F
AnnaDeavereSmith_2005.sph,F
AnnaMracekDietrich_2011G.sph,F
AnnCooper_2007P.sph,F
AnneCurzan_2014X.sph,F
AnneLamott_2017.sph,F
AnneMarieSlaughter_2013G.sph,F
AnneMilgram_2013S.sph,F
AnnetteHeuser_2013G.sph,F
AnnieLennox_2010G.sph,F
AnnieMurphyPaul_2011G.sph,F
AnnMarieThomas_2011.sph,F
AnnMorgan_2015G.sph,F
AnoteTong_2015Z.sph,M
AnthonyAtala_2009P.sph,M
AnthonyAtala_2011.sph,M
AnthonyDRomero_2017.sph,M
AnthonyGoldbloom_2016U.sph,M
AntonioDamasio_2011.sph,M
AntonioGuterres_2015G.sph,M
AntonyGormley_2012G.sph,M
AnupamMishra_2009I.sph,M
AomawaShields_2015U.sph,F
AparnaRao_2011G.sph,F
AparnaRao_2013U.sph,F
ApolloRobbins_2013G.sph,M
AriannaHuffington_2010W.sph,F
ArielGarten_2011X.sph,F
ArisVenetikidis_2012X.sph,M
AriWallach_2016X.sph,M
ArthurBenjamin_2005.sph,M
ArthurBenjamin_2009.sph,M
ArthurBenjamin_2013G.sph,M
ArthurBrooks_2016.sph,M
ArthurGanson_2004.sph,M
ArthurPottsDawson_2010G.sph,M
ArunachalamMuruganantham_2012S.sph,M
ArvindGupta_2010P.sph,M
AshadeVos_2014U.sph,F
AshBeckham_2013X.sph,F
AshBeckham_2014X.sph,F
AsherHasan_2009I.sph,M
AshleyJudd_2016W.sph,F
AshrafGhani_2005G.sph,M
AshtonCofer_2016Y.sph,M
AspenBaker_2015W.sph,F
AstroTeller_2016.sph,M
AtulGawande_2012.sph,M
AubreydeGrey_2005G.sph,M
AudreyChoi_2015S.sph,F
AukeIjspeert_2015G.sph,M
,76
