speaker,number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,pausepersecond
911Mothers,2002,188,3,4,449.1,590.7,0.8,203.23,47.32,193.3,70,419,173,231,0.318266464
AJJacobs,2642.666667,246.3333333,3.666666667,4.666666667,586.9,718.9666667,0.8,172.6533333,36.81666667,166.0333333,71,398.3333333,147.6666667,190.3333333,0.33411445
AalaElKhani,3080,262,4,5,634.1,860.5,0.7,243.6,41.38,241.9,71,420,219,266,0.304474143
AaronHuey,3046,366,3,5,598.2,924.5,0.6,141.68,18.83,139.5,74,397,129,151,0.39588967
AaronKoblin,4300,220,4,5,941.7,1094.7,0.9,143.02,30.02,137.7,77,400,125,154,0.200968302
AaronOConnell,1765,146,4,5,373.4,467.8,0.8,120.92,29.73,113.8,73,399,102,133,0.312099188
AbeDavis,3313,381,3,5,725.3,1081.7,0.7,200.05,62.42,191.4,71,421,155,239,0.352223352
AbhaDawesar,2075,426,3,5,412.8,721.7,0.6,255.04,46.15,251.4,75,423,222,284,0.590272967
AbigailMarsh,2728,231,4,5,539.1,746,0.7,230.57,52.28,224.1,71,422,197,258,0.309651475
AbigailWashburn,1086,104,3,4,279.4,390.7,0.7,201.29,52.85,188.9,70,420,172,217,0.266188892
AbrahamVerghese,4003,414,4,5,864.2,1109.1,0.8,140.44,28.8,135.7,80,399,120,156,0.373275629
AchenyoIdachaba,1469,214,3,5,319.9,441.1,0.7,191.26,51.8,174.6,70,418,154,219,0.485150759
AdamDavidson,4854,289,4,5,1036.8,1185.5,0.9,155.79,39.12,148.4,72,402,128,176,0.243778996
AdamDriver,4114,293,4,5,861.9,1086.2,0.8,162.93,47.42,150.2,70,423,130,184,0.269747744
AdamFoss,3019,295,3,5,659.2,961,0.7,136.14,31.71,132.7,78,398,116,152,0.306971904
AdamGalinsky,2972,424,3,5,637.8,912.8,0.7,216.81,52.02,210.4,73,423,178,249,0.46450482
AdamGarone,3039,411,3,4,687.3,997.9,0.7,137.63,30.33,132.4,77,399,119,149,0.411864916
AdamGrant,3121.5,298,3.5,5,588.7,870.5,0.7,201.845,55.15,195.9,72,422,163.5,235.5,0.340628828
AdamGrosser,759,45,4,4,176.5,211,0.8,123.68,37.65,113.7,79,399,102,134,0.213270142
AdamOckelford,3836,316,3,4,918.6,1178.3,0.8,157.52,81.77,117.9,62,425,102,186,0.268182975
AdamOstrow,1132,87,3,4,254.7,326.4,0.8,144.81,32.09,137.2,72,387,124,158,0.266544118
AdamSadowsky,2459,122,4,4,607.5,688.3,0.9,150.28,56.36,135.2,68,410,117,164,0.177248293
