speaker,number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,pausepersecond,gender
911Mothers,2002.0,188.0,3.0,4.0,449.1,590.7,0.8,203.23,47.32,193.3,70.0,419.0,173.0,231.0,0.318266464,F
AJJacobs,2642.666667,246.3333333,3.666666667,4.666666667,586.9,718.9666667,0.8,172.6533333,36.81666667,166.0333333,71.0,398.3333333,147.6666667,190.3333333,0.33411445,M
AalaElKhani,3080.0,262.0,4.0,5.0,634.1,860.5,0.7,243.6,41.38,241.9,71.0,420.0,219.0,266.0,0.304474143,F
AaronHuey,3046.0,366.0,3.0,5.0,598.2,924.5,0.6,141.68,18.83,139.5,74.0,397.0,129.0,151.0,0.39588967,M
AaronKoblin,4300.0,220.0,4.0,5.0,941.7,1094.7,0.9,143.02,30.02,137.7,77.0,400.0,125.0,154.0,0.200968302,M
AaronOConnell,1765.0,146.0,4.0,5.0,373.4,467.8,0.8,120.92,29.73,113.8,73.0,399.0,102.0,133.0,0.312099188,M
AbeDavis,3313.0,381.0,3.0,5.0,725.3,1081.7,0.7,200.05,62.42,191.4,71.0,421.0,155.0,239.0,0.352223352,M
AbhaDawesar,2075.0,426.0,3.0,5.0,412.8,721.7,0.6,255.04,46.15,251.4,75.0,423.0,222.0,284.0,0.590272967,F
AbigailMarsh,2728.0,231.0,4.0,5.0,539.1,746.0,0.7,230.57,52.28,224.1,71.0,422.0,197.0,258.0,0.309651475,F
AbigailWashburn,1086.0,104.0,3.0,4.0,279.4,390.7,0.7,201.29,52.85,188.9,70.0,420.0,172.0,217.0,0.266188892,F
AbrahamVerghese,4003.0,414.0,4.0,5.0,864.2,1109.1,0.8,140.44,28.8,135.7,80.0,399.0,120.0,156.0,0.373275629,M
AchenyoIdachaba,1469.0,214.0,3.0,5.0,319.9,441.1,0.7,191.26,51.8,174.6,70.0,418.0,154.0,219.0,0.485150759,F
AdamDavidson,4854.0,289.0,4.0,5.0,1036.8,1185.5,0.9,155.79,39.12,148.4,72.0,402.0,128.0,176.0,0.243778996,M
AdamDriver,4114.0,293.0,4.0,5.0,861.9,1086.2,0.8,162.93,47.42,150.2,70.0,423.0,130.0,184.0,0.269747744,M
AdamFoss,3019.0,295.0,3.0,5.0,659.2,961.0,0.7,136.14,31.71,132.7,78.0,398.0,116.0,152.0,0.306971904,M
AdamGalinsky,2972.0,424.0,3.0,5.0,637.8,912.8,0.7,216.81,52.02,210.4,73.0,423.0,178.0,249.0,0.46450482,M
AdamGarone,3039.0,411.0,3.0,4.0,687.3,997.9,0.7,137.63,30.33,132.4,77.0,399.0,119.0,149.0,0.411864916,M
AdamGrant,3121.5,298.0,3.5,5.0,588.7,870.5,0.7,201.845,55.15,195.9,72.0,422.0,163.5,235.5,0.340628828,M
AdamGrosser,759.0,45.0,4.0,4.0,176.5,211.0,0.8,123.68,37.65,113.7,79.0,399.0,102.0,134.0,0.213270142,M
AdamOckelford,3836.0,316.0,3.0,4.0,918.6,1178.3,0.8,157.52,81.77,117.9,62.0,425.0,102.0,186.0,0.268182975,M
AdamOstrow,1132.0,87.0,3.0,4.0,254.7,326.4,0.8,144.81,32.09,137.2,72.0,387.0,124.0,158.0,0.266544118,M
