filename,speaker,meanF0,stdevF0,hnr,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer
james_1963_bullfighting_pro_opening,james,133.8774757,39.62759804,6.268268517,0.023185415,0.000174266,0.009303703,0.010266335,0.02791111,0.109254008,0.953173169,0.038986947,0.056018795,0.098834602,0.11696084
will_1542_libertarian_pro_opening,will,146.2890584,57.78964871,11.87214077,0.029319696,0.000203138,0.01027719,0.011979523,0.030831571,0.099038374,0.940255848,0.031574378,0.049047881,0.102471335,0.094723135
daniel_81_physical-education_con_opening_james,daniel,135.8701703,44.30477108,9.431293288,0.023573296,0.000174062,0.009954294,0.011971797,0.029862881,0.126814756,1.171121025,0.049568302,0.073514054,0.135175267,0.148704907
rachel_3162_multiculturalism_con_opening_james,rachel,227.0313005,63.43333244,15.26094755,0.020327766,9.01E-05,0.008311725,0.008993176,0.024935176,0.092922319,0.932392275,0.032656961,0.051526902,0.088292175,0.097970884
james_2483_anonymous-posts_con_opening_daniel,james,207.0640835,129.0625116,3.571483186,0.023601896,0.000123427,0.010483343,0.011659612,0.031450029,0.192759143,1.594646381,0.108705108,0.120524681,0.15790632,0.326115323
tim_2402_guantanamo_con_opening_daniel,tim,167.0064075,63.09869264,7.590776053,0.026253067,0.000159027,0.012607547,0.014577402,0.037822642,0.15313208,1.357530372,0.066147296,0.089974009,0.139425334,0.198441889
will_2110_age-of-consent_pro_opening,will,144.7488531,47.07538523,15.25665529,0.022925152,0.000159841,0.007586453,0.009352545,0.022759359,0.10250499,0.940445972,0.033382225,0.05098723,0.093087641,0.100146676
rachel_881_holocaust-denial_pro_opening,rachel,239.5569424,64.53282525,14.48085218,0.02259935,9.50E-05,0.009292291,0.010304699,0.027876872,0.097157669,0.954397982,0.033741485,0.050729086,0.096704084,0.101224456
daniel_2481_fraternities_con_opening_james,daniel,122.0130198,36.48488928,8.393413381,0.024063452,0.000197979,0.010617624,0.013148762,0.031852871,0.150228273,1.353829804,0.061614465,0.090572001,0.153990422,0.184843395
james_2559_nato_pro_opening,james,131.6100142,33.64971867,6.096461018,0.02446908,0.000186876,0.010349727,0.01070659,0.031049181,0.110968796,0.970254831,0.03792603,0.055623305,0.104549132,0.11377809
tim_1902_ivory-trade_con_opening_yaar,tim,149.1509964,50.41163332,9.255507595,0.025061858,0.000169151,0.010837882,0.012520299,0.032513645,0.135491883,1.216115926,0.057431588,0.07800745,0.130843627,0.172294765
yaar_2559_nato_pro_opening,yaar,125.0933121,46.2936269,10.30170538,0.028893664,0.000234577,0.012972223,0.013520605,0.038916669,0.144312222,1.307219524,0.067881401,0.085743714,0.136317529,0.203644202
james_2483_anonymous-posts_pro_opening,james,138.451504,37.34254248,6.835940129,0.022067012,0.00016049,0.008522134,0.009727504,0.025566401,0.118254921,1.108506131,0.045749573,0.059320333,0.106715101,0.137248719
james_1401_vegetarianism_pro_opening,james,137.9871668,42.25132643,6.375961894,0.023745928,0.000173442,0.009443979,0.010908265,0.028331938,0.112242653,0.979650456,0.039065039,0.055859767,0.099575238,0.117195116
rachel_2486_electoral-college_pro_opening,rachel,315.8795506,105.3891169,7.186374584,0.029504913,9.76E-05,0.011906703,0.012692553,0.035720108,0.212229149,1.758336052,0.098075628,0.183240566,0.241975141,0.294226883
tim_3186_flat-tax_con_opening_rachel,tim,208.9959608,58.17747149,10.67724226,0.02153745,0.000103568,0.009292825,0.010550972,0.027878474,0.130235426,1.22554679,0.052288006,0.0773862,0.136314327,0.156864017
hayah_683_windpower_pro_opening,hayah,170.4120913,61.78494835,10.9048478,0.027063438,0.000158792,0.01205382,0.011553727,0.03616146,0.098397074,0.934236834,0.029749137,0.041707087,0.087449207,0.08924741
rachel_1401_vegetarianism_con_opening_will,rachel,233.3938778,60.91443417,15.06805374,0.01782894,7.67E-05,0.006684772,0.007166108,0.020054316,0.082844144,0.789782256,0.025718333,0.040965482,0.083305661,0.077154998
james_3182_universal-health-care_con_opening_daniel,james,140.9695144,40.69919263,6.276003887,0.024360628,0.000173816,0.009902861,0.010354183,0.029708584,0.120716482,1.087945333,0.046287747,0.060709544,0.105847612,0.13886324
yaar_2502_drinking-age_con_opening_daniel,yaar,127.5843551,41.17695676,8.900281757,0.02543619,0.000201276,0.011538622,0.013264171,0.034615865,0.130137189,1.199854788,0.056883339,0.079863227,0.131434101,0.170650018
tim_1264_human-cloning_pro_opening,tim,155.545171,47.83143198,8.552196273,0.027013523,0.000174316,0.01266945,0.014338699,0.038008351,0.146417019,1.337370611,0.061999483,0.087565319,0.147930272,0.185998448
tim_1902_ivory-trade_con_opening_will,tim,190.8578818,53.346356,10.69353751,0.025715715,0.000135407,0.011905099,0.013810325,0.035715296,0.136091666,1.27652421,0.055057415,0.082643021,0.143724445,0.165172245
will_2488_un-veto_con_opening_james,will,141.9260221,48.79233823,10.81895987,0.031240972,0.000222305,0.012353227,0.014161373,0.03705968,0.099163289,0.907419284,0.034578947,0.05473912,0.106947635,0.103736841
yaar_1322_beauty-pageants_con_opening_eitan,yaar,133.8535932,66.24886607,9.563426751,0.031185374,0.000239275,0.013715271,0.014927957,0.041145813,0.144435166,1.316518841,0.065446396,0.092271934,0.146576962,0.196339188
yaar_1250_transfat_pro_opening,yaar,127.3526639,40.18959104,8.385982444,0.030620321,0.000241949,0.013257514,0.015528178,0.039772543,0.133660978,1.238886138,0.058511041,0.081591447,0.13255347,0.175533123
tim_3191_recall-elections_con_opening_james,tim,175.2404067,47.02620302,9.641225576,0.026443055,0.000151552,0.011546289,0.013436554,0.034638867,0.130074636,1.232514506,0.051672798,0.076699984,0.139903047,0.155018393
hayah_3192_compulsory-voting_con_opening_james,hayah,197.9837422,63.30746005,12.10907011,0.022875521,0.00011593,0.009136225,0.009100361,0.027408675,0.093915745,0.907851235,0.028474404,0.04230777,0.087508794,0.085423213
