filename,duration,meanF0,stdevF0,hnr,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer
911Mothers_2010W,343.89,192.0816347,36.83923251,10.99609559,0.023023799,0.000121469,0.011177198,0.012090582,0.033531593,0.11307851,1.140890138,0.052720292,0.070976928,0.112047546,0.158160875
AJJacobs_2007P,955.24,158.7767172,32.00555639,9.173821423,0.016268027,0.00010342,0.00589752,0.006615852,0.017692559,0.106478193,1.041411806,0.046154237,0.059179064,0.098608214,0.138462712
AJJacobs_2011P,420.75,169.3201669,34.49457913,11.2106823,0.020544517,0.000122067,0.008003082,0.008970822,0.024009245,0.097755324,0.951722173,0.039496761,0.05348818,0.089124027,0.118490282
AJJacobs_2014A,508.96,189.957021,37.45118561,10.78118045,0.016620379,8.82E-05,0.005741391,0.006770133,0.017224174,0.098868421,0.994126095,0.039533946,0.054624434,0.09494203,0.118601837
AalaElKhani_2016X,786.96,244.5898042,40.16649322,12.47615896,0.022858837,9.42E-05,0.010836275,0.012626577,0.032508826,0.111343439,1.125483489,0.048096887,0.069806595,0.115182901,0.14429066
AaronHuey_2010X,795.2,140.5688505,18.29681016,8.180549295,0.023077839,0.000165337,0.00985047,0.012114762,0.029551409,0.121879048,1.142495575,0.052247798,0.07198518,0.118778004,0.156743395
AaronKoblin_2011,833.33,141.0380999,25.17044003,9.410699225,0.025486985,0.000181462,0.01162941,0.014350274,0.03488823,0.126545429,1.193284103,0.05679211,0.080307508,0.131585032,0.17037633
AaronOConnell_2011,428.64,121.7696986,30.58574211,8.042359994,0.027820598,0.000231248,0.011809835,0.014741492,0.035429506,0.125024024,1.174491747,0.058237432,0.080863078,0.1216443,0.174712295
AbeDavis_2015,838.63,205.8574741,58.22512337,8.384705729,0.027291184,0.000133799,0.011576175,0.013445086,0.034728526,0.120675635,1.166529951,0.054196571,0.074906477,0.117710166,0.162589714
AbhaDawesar_2013G,664.73,254.7194207,45.19186034,14.99157069,0.015731748,6.24E-05,0.006257794,0.007076661,0.018773383,0.092205865,0.903182568,0.03420743,0.049104801,0.089220352,0.10262229
AbigailMarsh_2016T,695.79,234.5062167,53.51096051,10.21568112,0.024565267,0.000105669,0.011590449,0.013121724,0.034771348,0.115770997,1.15858302,0.052878704,0.072080254,0.112720553,0.158636111
AbigailWashburn_2012U,273.88,195.0632305,39.93578158,13.85564579,0.017514589,9.12E-05,0.00746071,0.007970254,0.02238213,0.072373719,0.723503245,0.029501312,0.039517879,0.062629605,0.088503937
