speaker,start,duration,meanF0,stdevF0,hnr,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer,filename,gender
911Mothers,275.9475806,5.546612903,187.8597606,34.56698757,10.84293751,0.023090643,0.000125065,0.011266843,0.012117285,0.03380053,0.112708508,1.135521713,0.052666686,0.070811938,0.111888435,0.158000057,911Mothers_2010W,F
AJJacobs,397.6642767,5.927515723,169.3198303,33.45584833,9.955003209,0.017305755,0.000103656,0.006364768,0.007201306,0.019094304,0.103304602,1.015654667,0.043675654,0.057097378,0.095605298,0.131026962,AJJacobs_2007P,M
AJJacobs,397.6642767,5.927515723,169.3198303,33.45584833,9.955003209,0.017305755,0.000103656,0.006364768,0.007201306,0.019094304,0.103304602,1.015654667,0.043675654,0.057097378,0.095605298,0.131026962,AJJacobs_2011P,M
AJJacobs,397.6642767,5.927515723,169.3198303,33.45584833,9.955003209,0.017305755,0.000103656,0.006364768,0.007201306,0.019094304,0.103304602,1.015654667,0.043675654,0.057097378,0.095605298,0.131026962,AJJacobs_2014A,M
AalaElKhani,423.0671014,5.702608696,245.2132609,39.66402577,12.35252007,0.023289416,9.60E-05,0.011072066,0.012873128,0.033216197,0.11234845,1.133508454,0.04873774,0.07068701,0.11643308,0.14621322,AalaElKhani_2016X,F
AaronHuey,463.8288489,5.720863309,140.5935258,18.16322216,8.146350124,0.02336863,0.000167286,0.009959928,0.012340076,0.029879785,0.1222245,1.14288862,0.052434134,0.072364977,0.12003503,0.157302402,AaronHuey_2010X,M
AaronKoblin,461.55552,6.66664,143.1167477,23.71648025,9.812598635,0.025559755,0.000179808,0.011431657,0.014258398,0.03429497,0.123130285,1.164420642,0.054855278,0.07794231,0.12480902,0.164565833,AaronKoblin_2011,M
AaronOConnell,229.0131429,6.123428571,121.5920844,29.91780962,7.849261487,0.027936846,0.000233405,0.011896278,0.014745844,0.035688835,0.124122337,1.160799751,0.05803676,0.080587147,0.121157765,0.174110279,AaronOConnell_2011,M
AbeDavis,542.7823226,5.419290323,207.5934001,58.70497966,8.30146379,0.027537401,0.00013409,0.011743783,0.013627855,0.035231348,0.121943776,1.173727966,0.054945249,0.075784559,0.119745838,0.164835748,AbeDavis_2015,M
AbhaDawesar,351.5220561,6.212429907,254.4519963,44.82959307,14.89668443,0.015801702,6.29E-05,0.006300947,0.007120782,0.018902842,0.092083601,0.902166573,0.034157517,0.049133389,0.088812126,0.102472552,AbhaDawesar_2013G,F
AbigailMarsh,369.3560976,5.656829268,234.6355753,51.88188129,10.16956597,0.02457458,0.000105905,0.011556306,0.013101336,0.034668917,0.116034284,1.161466188,0.052918935,0.072210067,0.113068981,0.158756806,AbigailMarsh_2016T,F
